Campaign,Callout text,Campaign Status,Status,Comment
SZ_Search_BayArea_Hyper_ExactPhrase_2026,Same-Day Slots,Enabled,Enabled,Campaign callout
SZ_Search_BayArea_Hyper_ExactPhrase_2026,Next-Day Service,Enabled,Enabled,Campaign callout
SZ_Search_BayArea_Hyper_ExactPhrase_2026,Fast SMS Confirm,Enabled,Enabled,Campaign callout
SZ_Search_BayArea_Hyper_ExactPhrase_2026,Insured Technicians,Enabled,Enabled,Campaign callout
SZ_Search_BayArea_Hyper_ExactPhrase_2026,Independent Service,Enabled,Enabled,Campaign callout
SZ_Search_BayArea_Hyper_ExactPhrase_2026,180-Day Warranty,Enabled,Enabled,Campaign callout
SZ_Search_BayArea_Hyper_ExactPhrase_2026,$99 Fee Credited,Enabled,Enabled,Campaign callout
SZ_Search_BayArea_Hyper_ExactPhrase_2026,No Hidden Add-Ons,Enabled,Enabled,Campaign callout
SZ_Search_BayArea_Hyper_ExactPhrase_2026,No Work Without OK,Enabled,Enabled,Campaign callout
SZ_Search_BayArea_Hyper_ExactPhrase_2026,Clear Diagnosis,Enabled,Enabled,Campaign callout
SZ_Search_BayArea_Hyper_ExactPhrase_2026,Bay Area Coverage,Enabled,Enabled,Campaign callout
SZ_Search_BayArea_Hyper_ExactPhrase_2026,Local Service Team,Enabled,Enabled,Campaign callout
SZ_Search_BayArea_Hyper_ExactPhrase_2026,Sub-Zero Specialists,Enabled,Enabled,Campaign callout
SZ_Search_BayArea_Hyper_ExactPhrase_2026,Emergency Availability,Enabled,Enabled,Campaign callout
SZ_Search_BayArea_Hyper_ExactPhrase_2026,High-Intent Repairs,Enabled,Enabled,Campaign callout
SZ_Search_BayArea_Hyper_ExactPhrase_2026,Cooling Issue Experts,Enabled,Enabled,Campaign callout
SZ_Search_BayArea_Hyper_ExactPhrase_2026,Ice System Repairs,Enabled,Enabled,Campaign callout
SZ_Search_BayArea_Hyper_ExactPhrase_2026,Leak Diagnostics,Enabled,Enabled,Campaign callout
SZ_Search_BayArea_Hyper_ExactPhrase_2026,Error Code Service,Enabled,Enabled,Campaign callout
SZ_Search_BayArea_Hyper_ExactPhrase_2026,Short Booking Flow,Enabled,Enabled,Campaign callout
