Campaign,Keyword,Criterion Type,Type,Comment
SZ_Search_BayArea_ExactPhrase_2026,24 sub zero refrigerator,Exact,Campaign negative,Deep negative filter
SZ_Search_BayArea_ExactPhrase_2026,24 sub zero refrigerator freezer,Exact,Campaign negative,Deep negative filter
SZ_Search_BayArea_ExactPhrase_2026,24 sub zero wine refrigerator,Exact,Campaign negative,Deep negative filter
SZ_Search_BayArea_ExactPhrase_2026,24 subzero fridge,Exact,Campaign negative,Deep negative filter
SZ_Search_BayArea_ExactPhrase_2026,30 in sub zero fridge,Exact,Campaign negative,Deep negative filter
SZ_Search_BayArea_ExactPhrase_2026,30 inch sub zero refrigerator,Exact,Campaign negative,Deep negative filter
SZ_Search_BayArea_ExactPhrase_2026,30 inch subzero,Exact,Campaign negative,Deep negative filter
SZ_Search_BayArea_ExactPhrase_2026,30 subzero fridge,Exact,Campaign negative,Deep negative filter
SZ_Search_BayArea_ExactPhrase_2026,36 built in sub zero refrigerator,Exact,Campaign negative,Deep negative filter
SZ_Search_BayArea_ExactPhrase_2026,36 inch built in refrigerator sub zero,Exact,Campaign negative,Deep negative filter
SZ_Search_BayArea_ExactPhrase_2026,36 inch sub zero refrigerator,Exact,Campaign negative,Deep negative filter
SZ_Search_BayArea_ExactPhrase_2026,36 inch subzero fridge,Exact,Campaign negative,Deep negative filter
SZ_Search_BayArea_ExactPhrase_2026,36 sub zero refrigerator,Exact,Campaign negative,Deep negative filter
SZ_Search_BayArea_ExactPhrase_2026,36 sub zero refrigerator for sale,Exact,Campaign negative,Deep negative filter
SZ_Search_BayArea_ExactPhrase_2026,36 sub zero refrigerator freezer,Exact,Campaign negative,Deep negative filter
SZ_Search_BayArea_ExactPhrase_2026,36 subzero refrigerator,Exact,Campaign negative,Deep negative filter
SZ_Search_BayArea_ExactPhrase_2026,36 wide sub zero refrigerator,Exact,Campaign negative,Deep negative filter
SZ_Search_BayArea_ExactPhrase_2026,42 built in sub zero refrigerator,Exact,Campaign negative,Deep negative filter
SZ_Search_BayArea_ExactPhrase_2026,42 in sub zero refrigerator,Exact,Campaign negative,Deep negative filter
SZ_Search_BayArea_ExactPhrase_2026,42 inch built in refrigerator sub zero,Exact,Campaign negative,Deep negative filter
SZ_Search_BayArea_ExactPhrase_2026,42 inch ge monogram refrigerator,Exact,Campaign negative,Deep negative filter
SZ_Search_BayArea_ExactPhrase_2026,42 inch monogram refrigerator,Exact,Campaign negative,Deep negative filter
SZ_Search_BayArea_ExactPhrase_2026,42 inch sub zero fridge,Exact,Campaign negative,Deep negative filter
SZ_Search_BayArea_ExactPhrase_2026,42 inch sub zero with water dispenser,Exact,Campaign negative,Deep negative filter
SZ_Search_BayArea_ExactPhrase_2026,42 inch subzero,Exact,Campaign negative,Deep negative filter
