Campaign,Keyword,Criterion Type,Type,Comment
SZ_Search_BayArea_Core,diy,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Core,how to,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Core,manual,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Core,owner manual,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Core,user manual,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Core,parts,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Core,replacement parts,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Core,used parts,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Core,schematic,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Core,wiring diagram,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Core,forum,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Core,reddit,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Core,youtube,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Core,free,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Core,cheap,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Core,wholesale,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Core,amazon,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Core,ebay,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Core,home depot,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Core,lowes,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Core,job,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Core,jobs,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Core,career,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Core,salary,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Core,training,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Core,school,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Core,course,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Core,internship,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Core,new refrigerator,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Core,used refrigerator,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Core,for sale,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Core,craigslist,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Core,installation,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Core,install,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Core,remove,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Core,relocate,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Core,moving,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Core,cleaning,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Core,tiktok,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Core,pdf,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Core,lg refrigerator,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Core,samsung refrigerator,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Core,whirlpool refrigerator,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Core,bosch refrigerator,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Core,maytag refrigerator,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Core,kitchenaid refrigerator,Phrase,Campaign negative,Low intent or irrelevant filter
SZ_Search_BayArea_Core,viking refrigerator,Phrase,Campaign negative,Low intent or irrelevant filter
